Sample	Coding	UTR	Intronic	Intergenic	Ribosomal	PF not aligned
18-023-GFM	1395276537.0	914694746.0	2109668842.0	1353304390.0	184314953.0	302097156.0
18-023-GTS	1183403207.0	818690082.0	3208588065.0	2100148929.0	251068878.0	449810247.0
18-023-SVZ	3063632681.0	1724060578.0	1605548962.0	639093157.0	305289055.0	278470306.0
18-023-THA	772127546.0	620724599.0	2987676613.0	1997237084.0	80365839.0	354515144.0
18-028-GFM	1667077566.0	257367701.0	606467656.0	434403357.0	1332588960.0	1080231822.0
18-039-GFM	670423327.0	484836637.0	2974645527.0	2235171517.0	195718141.0	425303227.0
18-039-GTS	1016825062.0	492439762.0	1573691206.0	1222615859.0	539053159.0	615372629.0
18-039-THA	2044389673.0	1140901398.0	2140111369.0	1504470179.0	522202220.0	663592829.0
18-042-SVZ	6626777710.0	3630929723.0	2103996464.0	612748369.0	425238798.0	560383621.0
18-063-GFM	2821852399.0	1607053785.0	4484568509.0	3258451826.0	682419980.0	803434903.0
18-063-GTS	1316085729.0	775805304.0	2149629279.0	1514248996.0	157855468.0	336991944.0
18-063-THA	1084859693.0	968776048.0	7531039844.0	5385913579.0	174107798.0	880377281.0
18-064-GFM	5278871257.0	2629868976.0	4330405295.0	2997892389.0	459784091.0	755819454.0
18-064-GTS	3451253998.0	1703763978.0	1984425494.0	934077760.0	335999988.0	250158746.0
18-064-SVZ	1296477852.0	859597242.0	3355932863.0	2033500063.0	71465493.0	386417798.0
18-064-THA	1900700906.0	1024890981.0	1935403940.0	1137552242.0	177969621.0	263872104.0
18-074-GFM	1421508971.0	973753517.0	2686811854.0	1121046660.0	207997786.0	442687474.0
18-074-GTS	1637549925.0	1102670675.0	3221583044.0	1658493154.0	220998983.0	363195263.0
18-074-SVZ	2396757492.0	1470187127.0	2414159667.0	925253066.0	143099436.0	265895526.0
18-074-THA	2414703954.0	1550006070.0	2605019005.0	911294117.0	140687291.0	395311148.0
18-079-GFM	3456047210.0	1831412042.0	1167960032.0	471895745.0	420565891.0	237823063.0
18-079-GTS	1616252925.0	923471373.0	3357876183.0	2192116828.0	448576119.0	492687681.0
18-079-SVZ	1801843104.0	1041039169.0	2587730922.0	1800638035.0	135262659.0	399935801.0
18-079-THA	1008774750.0	617128455.0	3315981122.0	2404046447.0	265053426.0	464386458.0
18-105-GFM	3456997453.0	1889754992.0	1444155808.0	579852773.0	227510909.0	238067516.0
18-105-GTS	3689899487.0	1840334373.0	729516265.0	327287311.0	693206741.0	348486924.0
18-105-THA	4665649500.0	2248650296.0	650796601.0	229097457.0	168594435.0	332890092.0
18-112-GFM	4104895013.0	2095322229.0	1154307852.0	208219286.0	79773261.0	186348917.0
18-112-GTS	4179489381.0	2320307044.0	905666746.0	208355003.0	280652931.0	324166664.0
18-112-THA	4930844751.0	2751846787.0	1790803756.0	598183522.0	290038241.0	295158484.0
MG-01-SVZ	3579715659.0	2079787459.0	1982471307.0	442910047.0	117225113.0	250049403.0
MG-03-SVZ	4106143041.0	2256285550.0	1318956531.0	348535914.0	119815229.0	252480497.0
MG-04-GFM	4016097447.0	2291418087.0	1166989984.0	329532093.0	212140252.0	270183413.0
MG-05-SVZ	3764341674.0	2329750887.0	1692619588.0	285678298.0	131884592.0	275478827.0
MG-06-GFM	3120900304.0	1942875255.0	2190549385.0	651048960.0	102967404.0	237085767.0
MG-06-SVZ	2717679048.0	1708180259.0	1824325998.0	530826338.0	61684989.0	233099343.0
MG-07-Cerebellum	2949288309.0	1736332134.0	1392787409.0	1057324938.0	564270431.0	333275505.0
MG-07-GFM	2816098870.0	1682180818.0	1557383068.0	1059364491.0	305810918.0	278757227.0
MG-08-GFM	3118423147.0	1787093409.0	1610352171.0	743093847.0	537734567.0	397776611.0
MG-08-SVZ	4287570344.0	2347234068.0	1540185904.0	258961688.0	95009013.0	221688643.0
MG-09-Cerebellum	1561199230.0	1342335216.0	2472169902.0	1798348149.0	889880314.0	580293306.0
MG-09-GFM	1514972786.0	1354031447.0	2113981758.0	1418333323.0	779780771.0	538322446.0
MG-13-GFM	1253450665.0	1173024448.0	2130606246.0	1707133789.0	637028869.0	591863659.0
MG-13-SN	2297773156.0	1837409292.0	3932905534.0	3232127151.0	1373559219.0	859865537.0
MG-13-SVZ	1600135627.0	1279342233.0	1983635688.0	1483520946.0	459495469.0	409050079.0
MG-14-SVZ	2972877970.0	1864681716.0	1520722876.0	1279555382.0	242935640.0	341164237.0
